Event RA Dec t0 tE Ibl I0 Field Layer
OGLE-BLG501.03.159961 268.0806666666667 -29.62358333333333 2456211.225 28.353 17.48382 20.051001 EUC_LE1_VIS-67070-1-C_20250323T211745.000000Z_01_01_01.00.fits.gz 66
OGLE-BLG501.03.192604 268.079375 -29.79705555555556 2456004.392 18.655 19.776475 20.08017 EUC_LE1_VIS-67070-1-C_20250323T233008.000000Z_01_01_01.00.fits.gz 12
OGLE-BLG501.03.198328 268.1087083333333 -29.814916666666665 2456201.379 13.221 20.424705 21.018009 EUC_LE1_VIS-67070-1-C_20250323T231328.000000Z_01_01_01.00.fits.gz 9
OGLE-BLG501.03.51485 268.18895833333335 -29.572277777777774 2455647.729 35.51 17.962816 19.553786 EUC_LE1_VIS-67070-1-C_20250323T205245.000000Z_01_01_01.00.fits.gz 58
OGLE-BLG501.03.65785 268.20725 -29.65066666666667 2455723.759 6.272 18.970011 19.325172 EUC_LE1_VIS-67070-1-C_20250323T210925.000000Z_01_01_01.00.fits.gz 70
OGLE-BLG501.03.77428 268.20033333333333 -29.705555555555552 2456567.216 56.738 19.97869 20.439746 EUC_LE1_VIS-67070-1-C_20250323T233828.000000Z_01_01_01.00.fits.gz 10
OGLE-BLG501.03.88113 268.1874583333333 -29.774611111111117 2456171.057 20.296 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T232148.000000Z_01_01_01.00.fits.gz 10
OGLE-BLG501.03.91867 268.192625 -29.80011111111111 2456447.216 15.311 19.541076 20.302372 EUC_LE1_VIS-67070-1-C_20250324T004008.000000Z_01_01_01.00.fits.gz 11
OGLE-BLG501.04.113307 267.9717083333333 -29.631555555555558 2456212.008 13.831 18.703962 19.993212 EUC_LE1_VIS-67070-1-C_20250323T211745.000000Z_01_01_01.00.fits.gz 62
OGLE-BLG501.04.113411 267.964625 -29.633888888888887 2456764.467 66.575 18.949879 19.819263 EUC_LE1_VIS-67070-1-C_20250323T205245.000000Z_01_01_01.00.fits.gz 51
OGLE-BLG501.04.155156 267.9051666666667 -29.58088888888889 2455469.904 43.927 17.331508 19.473971 EUC_LE1_VIS-67070-1-C_20250323T205245.000000Z_01_01_01.00.fits.gz 50
